id,created_at,scan_date,kickoff,sport,competition,match,market,selection,line,qualifier,odds_taken,closing_odds,p_market,p_model,edge_pp,ev,units,stake,tier,verdict,confidence,data_quality,cluster,reason_codes,model_version,is_shadow,status,result_detail,profit,settled_at,notes
1,2026-09-18T07:38:51+00:00,2026-09-18,2026-09-18,football,Бундеслига,Бавария — Унион Берлин,btts,no,,full_time,1.9,1.9,0.493,0.558,6.5,0.06020000000000003,0.5,500.0,B-TIER,VALUE,71.0,57.0,,"[""LINEUP_EDGE""]",V5.0,0,won,7:0,450.0,2026-09-20T09:29:42+00:00,"6 отсутствующих у Униона, включая Илича и Бёрка; 1 очко в 3 турах"
2,2026-09-18T07:38:51+00:00,2026-09-18,2026-09-18,hockey,КХЛ,Салават Юлаев — Нефтехимик,handicap,away,1.0,full_time,1.63,,0.58,0.645,6.5,0.05135000000000001,0.0,0.0,-,WAIT,68.0,48.0,,"[""GOALIE_EDGE""]",V5.0,1,open,,,,вратарь не подтверждён — шлагбаум
3,2026-09-18T07:38:51+00:00,2026-09-18,2026-09-18,football,АПЛ,Брентфорд — Челси,btts,yes,,full_time,1.4,,0.688,0.7,1.2,-0.02000000000000013,0.0,0.0,-,REJECTED,45.0,57.0,,[],V5.0,1,open,,,,цена ушла 1.45 -> 1.40; подгонка модели не сошлась rms=0.038
4,2026-09-18T07:38:51+00:00,2026-09-18,2026-09-18,football,Ла Лига,Эспаньол — Эльче,btts,yes,,full_time,1.7,,0.556,0.6,4.4,0.020000000000000018,0.0,0.0,-,REJECTED,58.0,57.0,,[],V5.0,1,open,,,,"нужно 62.1% при пороге 6.5пп, обосновать нечем"
5,2026-09-18T07:38:51+00:00,2026-09-18,2026-09-18,hockey,КХЛ,Металлург Мг — Барыс,handicap,away,1.5,full_time,1.85,,0.507,0.507,0.0,0.0,0.0,0.0,-,REJECTED,30.0,30.0,,[],V5.0,1,open,,,,ни одного подтверждённого факта по матчу не найдено
6,2026-09-20T09:32:01+00:00,2026-09-20,2026-09-20T00:30,football,Примейра,Порту — Бенфика,total,under,2.5,full_time,1.9,,0.4929,0.5513,5.85,0.0475,0.75,750.0,B-TIER,VALUE,69.3,65.0,porto_under,"[""XG_EDGE"", ""LINEUP_EDGE""]",V5.0,0,void,дубль: заменена записью #14 после пересчёта карточки,0.0,2026-09-23T19:53:58+00:00,"Порту: 4 сухих из 5, 1 пропущенный; дома 5/5 и 1 пропущенный. Выбыли 6, но это атака (Агехова, Фрохольдт, Ж.Кошта). Confidence 69.3 — на 0.7 ниже порога B-TIER, взято сознательно, размер срезан с 1.33U до 0.75U"
7,2026-09-20T09:32:01+00:00,2026-09-20,,football,,Селтик — Рейнджерс,rejected,away,,full_time,3.0,,,,,,0.0,0.0,,REJECTED,,60.0,,[],V5.0,1,open,,,,рынок уже учёл усталость и травмы: Селтик дома всего 43.1%
8,2026-09-20T09:32:01+00:00,2026-09-20,,football,,Марсель — ПСЖ,rejected,home_ah15,,full_time,1.75,,,,,,0.0,0.0,,REJECTED,,60.0,,[],V5.0,1,open,,,,"источник о 5 травмах ПСЖ оказался прошлогодним, Дембеле здоров"
9,2026-09-20T11:03:01+00:00,2026-09-20,,football,,Витория Гимарайнш — Морейренше,handicap,home,-1.0,full_time,1.7,,,0.5688235294117647,,-0.033,0.0,0.0,,REJECTED,,55.0,,[],V5.0,1,open,,,,"выдано по прямой просьбе как топ-5 по EV; отрицательный EV, ставка не размещается"
10,2026-09-20T11:03:01+00:00,2026-09-20,,football,,Эшторил — Каса Пия,handicap,home,-1.0,full_time,2.17,,,0.4433179723502304,,-0.038,0.0,0.0,,REJECTED,,55.0,,[],V5.0,1,open,,,,"выдано по прямой просьбе как топ-5 по EV; отрицательный EV, ставка не размещается"
11,2026-09-20T11:03:01+00:00,2026-09-20,,football,,Фенербахче — Эюпспор,handicap,home,-1.5,full_time,1.58,,,0.6075949367088607,,-0.04,0.0,0.0,,REJECTED,,55.0,,[],V5.0,1,open,,,,"выдано по прямой просьбе как топ-5 по EV; отрицательный EV, ставка не размещается"
12,2026-09-20T11:03:01+00:00,2026-09-20,,football,,Зальцбург — Штурм,handicap,home,-1.0,full_time,1.88,,,0.5106382978723404,,-0.04,0.0,0.0,,REJECTED,,55.0,,[],V5.0,1,open,,,,"выдано по прямой просьбе как топ-5 по EV; отрицательный EV, ставка не размещается"
13,2026-09-20T11:03:01+00:00,2026-09-20,,football,,Фейеноорд — Утрехт,btts,yes,,full_time,1.65,,,0.5806060606060606,,-0.042,0.0,0.0,,REJECTED,,55.0,,[],V5.0,1,open,,,,"выдано по прямой просьбе как топ-5 по EV; отрицательный EV, ставка не размещается"
14,2026-09-20T11:13:39+00:00,2026-09-20,,football,,Порту — Бенфика,total,under,2.5,full_time,1.9,,0.4929,0.5603,6.7,0.065,1.0,1000.0,B-TIER,VALUE,73.0,66.0,Порту — Бенфика,"[""XG_EDGE"", ""LINEUP_EDGE""]",V5.0,0,open,,,,"скан 20.09, λ построены из найденных фактов, u=0.25 (дефолт)"
15,2026-09-20T11:13:39+00:00,2026-09-20,,football,,Марсель — ПСЖ,handicap,away,-1.5,full_time,2.08,,0.4553,0.4993,4.4,0.039,0.5,500.0,B-TIER,VALUE,65.0,66.0,Марсель — ПСЖ,"[""FATIGUE_EDGE"", ""LINEUP_EDGE""]",V5.0,0,open,,,,"скан 20.09, λ построены из найденных фактов, u=0.25 (дефолт)"
16,2026-09-20T11:13:39+00:00,2026-09-20,,football,,Фенербахче — Эюпспор,total,under,3.5,full_time,1.68,,0.562,0.616,5.4,0.035,0.5,500.0,B-TIER,VALUE,67.0,62.0,Фенербахче — Эюпспор,"[""LINEUP_EDGE""]",V5.0,0,open,,,,"скан 20.09, λ построены из найденных фактов, u=0.25 (дефолт)"
